geo_accession,title,group,tissue,cell_type,genotype,molecule,instrument,library_strategy,biosample,sra,gene_count,nonzero_gene_rows,max_fpkm_gene,max_fpkm,top5_genes
GSM9199594,WT8,control,Large intestine,Stromal cell,Il10ra flox/flox,total RNA,Illumina NovaSeq 6000,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN50779860,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX30236945,24346,14621,Gsn,9625.22,"Gsn:9625.22, Dcn:9149.10, Ftl1:5580.67, Fth1:4884.26, Fos:3484.02"
GSM9199595,WT9,control,Large intestine,Stromal cell,Il10ra flox/flox,total RNA,Illumina NovaSeq 6000,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN50779859,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX30236946,24346,14701,Dcn,8747.03,"Dcn:8747.03, Gsn:7520.38, Ftl1:5845.08, Fth1:5807.58, Col3a1:5391.07"
GSM9199596,WT43,control,Large intestine,Stromal cell,Il10ra flox/flox,total RNA,Illumina NovaSeq 6000,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN50779858,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX30236947,24346,14259,Gsn,10134.80,"Gsn:10134.80, Dcn:8626.08, Ftl1:5118.17, Fth1:4066.99, Fos:3400.50"
GSM9199597,cKO13,fibroblast_Il10ra_cKO,Large intestine,Stromal cell,Pdgfra cre; Il10ra flox/flox,total RNA,Illumina NovaSeq 6000,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN50779857,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX30236948,24346,14332,Gsn,10744.20,"Gsn:10744.20, Dcn:9773.82, Ftl1:6108.83, Fth1:5767.58, Col3a1:4622.69"
GSM9199598,cKO23,fibroblast_Il10ra_cKO,Large intestine,Stromal cell,Pdgfra cre; Il10ra flox/flox,total RNA,Illumina NovaSeq 6000,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN50779856,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX30236949,24346,14068,Gsn,11339.40,"Gsn:11339.40, Dcn:11260.80, Fth1:7649.57, B2m:6530.91, Ifitm3:6450.30"
GSM9199599,cKO25,fibroblast_Il10ra_cKO,Large intestine,Stromal cell,Pdgfra cre; Il10ra flox/flox,total RNA,Illumina NovaSeq 6000,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN50779855,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX30236950,24346,14955,Gsn,11627.70,"Gsn:11627.70, Dcn:9697.06, Ftl1:5587.40, Fth1:4996.72, Col3a1:4601.31"
