mode,Recall@1,Recall@3,Recall@5,Recall@10,MRR,nDCG@10,delta_Recall@1,delta_Recall@3,delta_Recall@5,delta_Recall@10,delta_MRR,delta_nDCG@10
full,0.05,0.477976,0.697619,0.902381,0.475,0.607235,0.0,0.0,0.0,0.0,0.0,0.0
without_graph,0.05,0.2625,0.3875,0.563095,0.282131,0.364622,0.0,-0.215476,-0.310119,-0.339286,-0.192869,-0.242613
without_bm25,0.05,0.419643,0.646429,0.897024,0.48,0.593812,0.0,-0.058333,-0.05119,-0.005357,0.005,-0.013423
without_vector,0.125,0.469643,0.660119,0.889881,0.5625,0.63988,0.075,-0.008333,-0.0375,-0.0125,0.0875,0.032645
without_collection_graph_expansion,0.05,0.477976,0.697619,0.902381,0.475,0.607235,0.0,0.0,0.0,0.0,0.0,0.0
