mode,Recall@1,Recall@3,Recall@5,Recall@10,MRR,nDCG@10,delta_Recall@1,delta_Recall@3,delta_Recall@5,delta_Recall@10,delta_MRR,delta_nDCG@10
full,0.05,0.41131,0.607143,0.77381,0.425,0.523298,0.0,0.0,0.0,0.0,0.0,0.0
without_graph,0.05,0.2625,0.3875,0.563095,0.282131,0.364622,0.0,-0.14881,-0.219643,-0.210715,-0.142869,-0.158676
without_bm25,0.05,0.352976,0.555952,0.782738,0.43,0.518744,0.0,-0.058334,-0.051191,0.008928,0.005,-0.004554
without_vector,0.125,0.402976,0.569643,0.76131,0.5125,0.555943,0.075,-0.008334,-0.0375,-0.0125,0.0875,0.032645
without_collection_graph_expansion,0.05,0.41131,0.607143,0.77381,0.425,0.523298,0.0,0.0,0.0,0.0,0.0,0.0
