geo_accession,count_column,title,condition,replicate,cell_line,cell_type,shrna_construct,treatment,culture_condition,molecule,instrument,library_strategy,biosample,sra,total_gene_count,detected_gene_rows,zero_gene_rows
GSM3035185,NonTargeting_rep1,"H226 shControl, 6 days doxycycline, replicate 1",control,1,H226,lung squamous cell carcinoma,Control,1 µg/mL doxycycline,"37°C, 5% CO2, 6 days",polyA RNA,Illumina HiSeq 2500,RNA-Seq,https://www.ncbi.nlm.nih.gov/biosample/SAMN08667775,SRX3777456,53924761,17926,7443
GSM3035186,NonTargeting_rep2,"H226 shControl, 6 days doxycycline, replicate 2",control,2,H226,lung squamous cell carcinoma,Control,1 µg/mL doxycycline,"37°C, 5% CO2, 6 days",polyA RNA,Illumina HiSeq 2500,RNA-Seq,https://www.ncbi.nlm.nih.gov/biosample/SAMN08667774,SRX3777457,52016366,17953,7416
GSM3035187,p63KD_rep1,"H226 shp63, 6 days doxycycline, replicate 1",p63_knockdown,1,H226,lung squamous cell carcinoma,p63,1 µg/mL doxycycline,"37°C, 5% CO2, 6 days",polyA RNA,Illumina HiSeq 2500,RNA-Seq,https://www.ncbi.nlm.nih.gov/biosample/SAMN08667770,SRX3777458,53416511,18137,7232
GSM3035188,p63KD_rep2,"H226 shp63, 6 days doxycycline, replicate 2",p63_knockdown,2,H226,lung squamous cell carcinoma,p63,1 µg/mL doxycycline,"37°C, 5% CO2, 6 days",polyA RNA,Illumina HiSeq 2500,RNA-Seq,https://www.ncbi.nlm.nih.gov/biosample/SAMN08667769,SRX3777459,51926832,18092,7277
